STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,SOURCE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
Florida,FL,"9,580,489","9,420,039",http://enight.elections.myflorida.com/FederalOffices/Presidential/,"16,533,216",10.50%,"92,847","214,066","4,566","219,431",,"14,577,798",65.72%,57.95%
Georgia,GA,"4,165,405","4,114,732",http://results.enr.clarityelections.com/GA/63991/182885/en/summary.html,"7,831,741",7.20%,"51,092","410,964","22,386","307,727",,"6,960,129",59.85%,53.19%
Hawaii,HI,"437,664","428,937",http://elections.hawaii.gov/wp-content/results/histatewide.pdf,"1,120,762",9.10%,"5,474",0,0,"5,474",,"1,013,299",43.19%,39.05%
Idaho,ID,"710,545","690,255",http://www.sos.idaho.gov/elect/results/2016/General/statewide_totals.html,"1,256,143",4.40%,"7,949","32,409","5,054","31,476",,"1,169,396",60.76%,56.57%
Illinois,IL,"5,666,118","5,589,631",https://www.elections.il.gov/ElectionResults.aspx?ID=vlS7uG8NT%2f0%3d,"9,887,574",8.50%,"42,017",0,0,"42,017",,"9,005,114",62.92%,57.31%
Indiana,IN,"2,807,676","2,734,958",http://www.in.gov/apps/sos/election/general/general2016,"5,072,700",3.70%,"24,948",0,0,"24,948",,"4,860,062",57.77%,55.35%
Iowa,IA,"1,581,371","1,566,031",https://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabView=StateRaces^Federal%20/%20Statewide%20Races^86&ElectionID=86,"2,404,019",3.60%,"8,888","29,254","6,051","31,614",,"2,285,860",69.18%,65.78%
Kansas,KS,"1,225,667","1,184,402",http://www.kssos.org/elections/16elec/2016_General_Election_Official_Results.pdf,"2,196,904",5.20%,"9,613","16,654","4,830","23,936",,"2,058,729",59.54%,55.79%
Kentucky,KY,"1,955,195","1,924,149",http://elect.ky.gov/results/2010-2019/Documents/2016%20General%20Election%20Results.pdf,"3,430,752",2.40%,"22,868","48,457","15,383","65,871",,"3,282,543",59.56%,56.99%
Louisiana,LA,"2,049,531","2,029,032",https://voterportal.sos.la.gov/Graphical,"3,563,801",2.70%,"35,543","40,174","30,907","89,349",,"3,378,229",60.67%,57.51%
Maine,ME,"771,892","747,927",http://www.maine.gov/sos/cec/elec/results/results16-17.html#nov,"1,079,197",1.80%,0,0,0,0,,"1,059,772",72.84%,71.52%
Maryland,MD,"2,807,322","2,781,446",http://elections.maryland.gov/elections/2016/results/General/gen_results_2016_4_001-.html,"4,663,738",8.80%,19382,72529,10305,"71,029",,"4,182,300",67.12%,60.19%
Massachusetts,MA,"3,378,801","3,325,046",http://www.sec.state.ma.us/ele/elepdf/2016-Electors-Certification.pdf,"5,453,921",8.90%,"8,780",0,0,"8,780",,"4,959,742",68.12%,61.95%
Michigan,MI,"4,874,619","4,799,284",http://miboecfr.nictusa.com/election/results/2016GEN_CENR.html,"7,765,389",3.70%,"40,502",0,0,"40,502",,"7,437,567",65.54%,62.77%
Minnesota,MN,"2,968,281","2,944,813",http://www.sos.state.mn.us/elections-voting/2016-general-election-results/,"4,242,668",4.60%,"10,158","96,852","7,075","72,439",,"3,975,066",74.67%,69.96%
Mississippi,MS,"1,209,357","1,209,357",http://www.sos.ms.gov/Elections-Voting/Pages/2016-General-Election.aspx,"2,268,353",1.40%,"19,150","29,067","8,645","44,363",,"2,192,233",55.17%,53.31%
